Event	ID	Name			Wwise Object Path	Notes
	12327560	Play_VO_event_1342_15			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_15	
	12327561	Play_VO_event_1342_14			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_14	
	12327564	Play_VO_event_1342_11			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_11	
	12327565	Play_VO_event_1342_10			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_10	
	12327566	Play_VO_event_1342_13			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_13	
	12327567	Play_VO_event_1342_12			\Default Work Unit\Voice\Plot\1342\Play_VO_event_1342_12	
	12887732	Play_VO_event_1319_11			\Default Work Unit\Voice\Plot\1319\Play_VO_event_1319_11	
	12887733	Play_VO_event_1319_10			\Default Work Unit\Voice\Plot\1319\Play_VO_event_1319_10	
	17671044	Play_VO_event_1381_10			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_10	
	17671045	Play_VO_event_1381_11			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_11	
	17671046	Play_VO_event_1381_12			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_12	
	17671047	Play_VO_event_1381_13			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_13	
	34448752	Play_VO_event_1381_07			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_07	
	34448753	Play_VO_event_1381_06			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_06	
	34448754	Play_VO_event_1381_05			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_05	
	34448755	Play_VO_event_1381_04			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_04	
	34448756	Play_VO_event_1381_03			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_03	
	34448757	Play_VO_event_1381_02			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_02	
	34448758	Play_VO_event_1381_01			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_01	
	34448766	Play_VO_event_1381_09			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_09	
	34448767	Play_VO_event_1381_08			\Default Work Unit\Voice\Plot\1381\Play_VO_event_1381_08	
	54856264	Play_VO_event_1402_10			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_10	
	54856265	Play_VO_event_1402_11			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_11	
	54856266	Play_VO_event_1402_12			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_12	
	54856267	Play_VO_event_1402_13			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_13	
	54856268	Play_VO_event_1402_14			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_14	
	71633970	Play_VO_event_1402_09			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_09	
	71633971	Play_VO_event_1402_08			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_08	
	71633976	Play_VO_event_1402_03			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_03	
	71633977	Play_VO_event_1402_02			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_02	
	71633978	Play_VO_event_1402_01			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_01	
	71633980	Play_VO_event_1402_07			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_07	
	71633981	Play_VO_event_1402_06			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_06	
	71633982	Play_VO_event_1402_05			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_05	
	71633983	Play_VO_event_1402_04			\Default Work Unit\Voice\Plot\1402\Play_VO_event_1402_04	
	123814220	Play_VO_talk_commontalk_common20			\Default Work Unit\Voice\Talk\Commontalk\other\Play_VO_talk_commontalk_common20	
	123814221	Play_VO_talk_commontalk_common21			\Default Work Unit\Voice\Talk\Commontalk\other\Play_VO_talk_commontalk_common21	
	153786466	Play_VO_event_6000042_08			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_08	
	153786467	Play_VO_event_6000042_09			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_09	
	153786472	Play_VO_event_6000042_02			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_02	
	153786473	Play_VO_event_6000042_03			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_03	
	153786475	Play_VO_event_6000042_01			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_01	
	153786476	Play_VO_event_6000042_06			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_06	
	153786477	Play_VO_event_6000042_07			\Default Work Unit\Voice\Date\Shinbuya\Play_VO_event_6000042_07	
